Object_Id  Timestamp Type Lat Lng 
9 177  50.6204 3.06551
9 178  50.6202 3.06532
9 179  50.62 3.06516
9 180  50.6198 3.06502
9 181  50.6197 3.06495
9 182  50.6195 3.06477
9 183  50.6195 3.0644
9 184  50.6195 3.06408
9 185  50.6195 3.06393
9 186  50.6195 3.06356
9 187  50.6195 3.06316
9 188  50.6195 3.06277
9 189  50.6195 3.06238
9 190  50.6195 3.06199
9 191  50.6195 3.06159
9 192  50.6195 3.0612
9 193  50.6195 3.06081
9 194  50.6195 3.06042
9 195  50.6195 3.06004
9 196  50.6195 3.05992
9 197  50.6195 3.0596
9 198  50.6194 3.05958
9 199  50.6192 3.05957
9 200  50.619 3.05957
9 201  50.6188 3.05933
9 202  50.6188 3.05923
9 203  50.6186 3.05902
9 204  50.6184 3.0588
9 205  50.6183 3.05856
9 206  50.6181 3.05836
9 207  50.618 3.05825
11 0  50.618 3.05825
11 1  50.6182 3.05853
11 2  50.6184 3.05877
11 3  50.6186 3.05901
11 4  50.6188 3.05925
11 5  50.619 3.05948
11 6  50.6191 3.05957
11 7  50.6193 3.05958
11 8  50.6194 3.05958
11 9  50.6195 3.05965
11 10  50.6195 3.05976
11 11  50.6197 3.05967
11 12  50.6199 3.05954
11 13  50.6201 3.05946
11 14  50.6203 3.05933
11 15  50.6205 3.0592
11 16  50.6208 3.05906
11 17  50.621 3.05893
11 18  50.6212 3.05881
11 19  50.6213 3.05891
11 20  50.6214 3.05924
11 21  50.6216 3.05955
11 22  50.6217 3.05977
11 23  50.6217 3.06003
11 24  50.6219 3.06034
11 25  50.622 3.06069
11 26  50.6221 3.06104
11 27  50.6222 3.06138
11 28  50.6223 3.06171
11 29  50.6224 3.06206
11 30  50.6225 3.06241
11 31  50.6226 3.06275
11 32  50.6228 3.06306
11 33  50.6229 3.0633
11 34  50.6229 3.06343
11 35  50.623 3.06373
11 36  50.6231 3.0641
11 37  50.6233 3.0642
11 38  50.6235 3.06422
11 39  50.6237 3.06424
11 40  50.624 3.06427
11 41  50.6242 3.0643
11 42  50.6243 3.06431
11 43  50.6245 3.06432
11 44  50.6247 3.06434
11 45  50.625 3.06436
14 0  50.6204 3.0363
14 1  50.6207 3.03681
14 2  50.6208 3.03711
14 3  50.621 3.03741
14 4  50.6211 3.03771
14 5  50.6213 3.03802
14 6  50.6215 3.03832
14 7  50.6217 3.03853
14 8  50.6219 3.03864
14 9  50.622 3.03856
14 10  50.6221 3.03847
14 11  50.6224 3.03827
14 12  50.6226 3.03808
14 13  50.6228 3.03789
14 14  50.623 3.03769
14 15  50.6232 3.0375
14 16  50.6233 3.03734
14 17  50.6234 3.03739
14 18  50.6236 3.03759
14 19  50.6238 3.03779
14 20  50.624 3.03801
14 21  50.6242 3.03823
14 22  50.6244 3.03844
14 23  50.6246 3.03867
14 24  50.6248 3.03889
14 25  50.625 3.0391
14 26  50.6251 3.03919
14 27  50.6253 3.03936
14 28  50.6255 3.03958
14 29  50.6257 3.03981
14 30  50.6258 3.03995
14 31  50.6259 3.04004
14 32  50.6261 3.04021
14 33  50.6263 3.04035
14 34  50.6264 3.04049
14 35  50.6265 3.04065
14 36  50.6266 3.04069
14 37  50.6267 3.04076
14 38  50.6269 3.04096
14 39  50.6271 3.04117
14 40  50.6273 3.04138
14 41  50.6274 3.04146
14 42  50.6275 3.04161
14 43  50.6276 3.0417
14 44  50.6277 3.04197
14 45  50.6277 3.0421
14 46  50.6278 3.04219
14 47  50.6279 3.04243
14 48  50.6281 3.04264
14 49  50.6283 3.04286
14 50  50.6285 3.04307
14 51  50.6287 3.04325
14 52  50.6288 3.04336
14 53  50.629 3.04358
14 54  50.629 3.04376
14 55  50.6291 3.04396
14 56  50.6292 3.04427
14 57  50.6294 3.04458
14 58  50.6295 3.04488
14 59  50.6297 3.04518
14 60  50.6298 3.04553
14 61  50.63 3.04585
14 62  50.6301 3.04617
14 63  50.6302 3.04651
14 64  50.6303 3.04686
14 65  50.6305 3.0472
14 66  50.6306 3.04745
14 67  50.6307 3.04777
14 68  50.6309 3.04809
14 69  50.631 3.04841
14 70  50.631 3.0485
14 71  50.6312 3.04877
14 72  50.6313 3.04908
14 73  50.6315 3.04939
14 74  50.6316 3.04972
14 75  50.6317 3.05006
14 76  50.6319 3.0504
14 77  50.632 3.05074
14 78  50.6321 3.05103
14 79  50.6322 3.05113
14 80  50.6323 3.0514
14 81  50.6325 3.05171
14 82  50.6326 3.05204
14 83  50.6326 3.05219
14 84  50.6327 3.05236
14 85  50.6328 3.05269
14 86  50.633 3.05301
14 87  50.6331 3.05334
14 88  50.6332 3.05369
14 89  50.6334 3.05402
14 90  50.6335 3.05434
14 91  50.6337 3.05466
14 92  50.6338 3.05497
14 93  50.634 3.05516
14 94  50.6342 3.0552
14 95  50.6345 3.05524
14 96  50.6347 3.05527
14 97  50.635 3.05531
14 98  50.6352 3.05535
14 99  50.6354 3.05537
14 100  50.6354 3.05542
14 101  50.6356 3.05561
14 102  50.6358 3.05589
14 103  50.6359 3.05611
14 104  50.6359 3.05606
14 105  50.636 3.05588
14 106  50.6362 3.05562
14 107  50.6364 3.05536
14 108  50.6366 3.05509
14 109  50.6368 3.05483
14 110  50.6369 3.05454
14 111  50.6369 3.05417
14 112  50.6371 3.05382
14 113  50.6372 3.05347
14 114  50.6373 3.05312
14 115  50.6374 3.05277
14 116  50.6375 3.05242
14 117  50.6376 3.05207
14 118  50.6376 3.05195
14 119  50.6374 3.05177
14 120  50.6374 3.05176
14 121  50.6375 3.05182
14 122  50.6376 3.05207
14 123  50.6375 3.05242
14 124  50.6374 3.05277
14 125  50.6373 3.05311
14 126  50.6372 3.05346
14 127  50.6371 3.05381
14 128  50.637 3.05407
14 129  50.6369 3.05441
14 130  50.6369 3.05464
14 131  50.6368 3.05478
14 132  50.6366 3.05504
14 133  50.6365 3.05526
14 134  50.6363 3.05552
14 135  50.6361 3.05579
14 136  50.6359 3.05605
14 137  50.6359 3.0561
14 138  50.6357 3.05586
14 139  50.6356 3.05557
14 140  50.6354 3.05537
14 141  50.6353 3.05542
14 142  50.6352 3.05563
14 143  50.635 3.05593
14 144  50.6349 3.05623
14 145  50.6347 3.05648
14 146  50.6346 3.05679
14 147  50.6344 3.05708
14 148  50.6343 3.05738
14 149  50.6341 3.05764
14 150  50.634 3.05789
14 151  50.6339 3.05813
14 152  50.6337 3.05842
14 153  50.6336 3.05848
14 154  50.6335 3.05875
14 155  50.6333 3.05907
14 156  50.6332 3.05937
14 157  50.6331 3.05945
14 158  50.633 3.0597
14 159  50.6328 3.06
14 160  50.6327 3.0603
14 161  50.6325 3.06059
14 162  50.6323 3.06082
14 163  50.6323 3.06094
14 164  50.6322 3.0612
14 165  50.632 3.06144
14 166  50.6319 3.06174
14 167  50.6317 3.06198
14 168  50.6317 3.06205
14 169  50.6316 3.06218
14 170  50.6314 3.06251
14 171  50.6314 3.06265
14 172  50.6315 3.06284
14 173  50.6317 3.06315
14 174  50.6318 3.06338
14 175  50.6318 3.06365
14 176  50.6317 3.06403
14 177  50.6317 3.06434
14 178  50.6317 3.06452
14 179  50.6317 3.06491
14 180  50.6317 3.0653
14 181  50.6317 3.06569
14 182  50.6317 3.06604
14 183  50.6317 3.06623
14 184  50.6317 3.06659
14 185  50.6317 3.0666
14 186  50.6316 3.06652
14 187  50.6316 3.06644
14 188  50.6315 3.06637
14 189  50.6314 3.06624
14 190  50.6313 3.06607
14 191  50.6312 3.06594
14 192  50.631 3.06569
14 193  50.6309 3.06553
14 194  50.6308 3.06539
14 195  50.6306 3.06514
14 196  50.6304 3.06489
14 197  50.6302 3.06465
14 198  50.6301 3.06442
14 199  50.6299 3.06416
14 200  50.6297 3.06391
14 201  50.6295 3.06366
14 202  50.6294 3.06352
14 203  50.6293 3.06337
14 204  50.6291 3.06311
14 205  50.6289 3.0629
14 206  50.6287 3.06266
14 207  50.6285 3.0624
14 208  50.6283 3.06216
14 209  50.6282 3.06189
14 210  50.6282 3.0615
14 211  50.6282 3.0613
14 212  50.6281 3.06123
14 213  50.628 3.06111
14 214  50.6279 3.06101
14 215  50.6278 3.06096
14 216  50.6277 3.0607
14 217  50.6277 3.06031
14 218  50.6277 3.05991
14 219  50.6277 3.05952
14 220  50.6277 3.05913
14 221  50.6277 3.05874
14 222  50.6276 3.05835
14 223  50.6276 3.05796
14 224  50.6276 3.0577
14 225  50.6276 3.05757
14 226  50.6275 3.0575
14 227  50.6273 3.05733
14 228  50.6271 3.05715
14 229  50.6268 3.05697
14 230  50.6267 3.05684
14 231  50.6265 3.05665
14 232  50.6263 3.05647
14 233  50.6262 3.05638
14 234  50.626 3.05624
14 235  50.626 3.05612
14 236  50.626 3.05584
14 237  50.626 3.05545
14 238  50.626 3.05506
14 239  50.626 3.05467
14 240  50.626 3.05427
14 241  50.626 3.05395
14 242  50.6259 3.05356
14 243  50.6259 3.05317
14 244  50.6259 3.05278
14 245  50.6259 3.05243
14 246  50.6259 3.05211
14 247  50.6259 3.05173
14 248  50.6258 3.05138
14 249  50.6257 3.05122
14 250  50.6256 3.05117
14 251  50.6253 3.05111
14 252  50.6251 3.05106
14 253  50.6249 3.05106
14 254  50.6248 3.05101
14 255  50.6248 3.0507
14 256  50.6247 3.05037
14 257  50.6245 3.05047
14 258  50.6243 3.05056
14 259  50.6241 3.05068
14 260  50.6239 3.05068
14 261  50.6238 3.05031
14 262  50.6237 3.04994
14 263  50.6236 3.04957
14 264  50.6236 3.0492
14 265  50.6235 3.04882
14 266  50.6234 3.04845
14 267  50.6234 3.04832
14 268  50.6233 3.04802
14 269  50.6232 3.04764
14 270  50.6232 3.04741
14 271  50.6232 3.0472
14 272  50.6231 3.04682
14 273  50.6231 3.0465
14 274  50.6231 3.04636
14 275  50.623 3.04601
14 276  50.6229 3.04565
14 277  50.6228 3.04531
14 278  50.6227 3.04506
14 279  50.6226 3.04477
14 280  50.6228 3.04455
14 281  50.623 3.04433
14 282  50.6231 3.04405
14 283  50.6233 3.04382
14 284  50.6235 3.0436
14 285  50.6237 3.04332
14 286  50.6238 3.04302
14 287  50.6237 3.04277
14 288  50.6235 3.04249
14 289  50.6234 3.04229
14 290  50.6233 3.04201
14 291  50.6232 3.04169
14 292  50.6231 3.04145
14 293  50.6229 3.04122
14 294  50.6229 3.04089
14 295  50.6228 3.04072
14 296  50.6227 3.04052
14 297  50.6226 3.04021
14 298  50.6225 3.03985
14 299  50.6224 3.0395
14 300  50.6223 3.03923
14 301  50.6222 3.03891
14 302  50.622 3.03862
14 303  50.6219 3.03863
14 304  50.6217 3.03854
14 305  50.6215 3.03835
14 306  50.6213 3.03804
14 307  50.6212 3.03774
14 308  50.621 3.03745
14 309  50.6209 3.03717
14 310  50.6207 3.03687
14 311  50.6205 3.03657
14 312  50.6204 3.0363
16 0  50.6204 3.0363
16 1  50.6206 3.03665
16 2  50.6207 3.03695
16 3  50.6209 3.03725
16 4  50.6211 3.03755
16 5  50.6212 3.03786
16 6  50.6214 3.03816
16 7  50.6216 3.03843
16 8  50.6218 3.03859
16 9  50.622 3.0386
16 10  50.6222 3.03843
16 11  50.6224 3.03823
16 12  50.6226 3.03803
16 13  50.6228 3.03784
16 14  50.6231 3.03765
16 15  50.6233 3.03746
16 16  50.6234 3.03737
16 17  50.6236 3.03757
16 18  50.6238 3.03777
16 19  50.624 3.03798
16 20  50.6242 3.0382
16 21  50.6244 3.03842
16 22  50.6246 3.03864
16 23  50.6247 3.03879
16 24  50.6248 3.0389
16 25  50.6249 3.03899
16 26  50.6251 3.03915
16 27  50.6253 3.03937
16 28  50.6255 3.03959
16 29  50.6257 3.03982
16 30  50.6258 3.03995
16 31  50.6259 3.04005
16 32  50.6261 3.0402
16 33  50.6262 3.0403
16 34  50.6263 3.04036
16 35  50.6265 3.04058
16 36  50.6265 3.04066
16 37  50.6266 3.04071
16 38  50.6267 3.04083
16 39  50.627 3.04104
16 40  50.6272 3.04126
16 41  50.6274 3.04147
16 42  50.6275 3.04163
16 43  50.6277 3.04183
16 44  50.6277 3.04216
16 45  50.6279 3.04243
16 46  50.6281 3.04264
16 47  50.6283 3.04285
16 48  50.6285 3.04306
16 49  50.6287 3.04327
16 50  50.6289 3.04351
16 51  50.629 3.04373
16 52  50.629 3.04386
16 53  50.6291 3.04406
16 54  50.6292 3.04422
16 55  50.6293 3.04447
16 56  50.6294 3.04465
16 57  50.6295 3.04484
16 58  50.6297 3.04515
16 59  50.6298 3.0455
16 60  50.6298 3.0456
16 61  50.63 3.04586
16 62  50.6301 3.04616
18 0  50.6301 3.04616
18 1  50.6298 3.04556
18 2  50.6297 3.04521
18 3  50.6296 3.04496
18 4  50.6294 3.04466
18 5  50.6293 3.04435
18 6  50.6291 3.04405
18 7  50.629 3.04371
18 8  50.6288 3.04346
18 9  50.6287 3.04322
18 10  50.6284 3.04301
18 11  50.6282 3.0428
18 12  50.628 3.04258
18 13  50.6278 3.04238
18 14  50.6277 3.0421
18 15  50.6277 3.04199
18 16  50.6277 3.04186
18 17  50.6275 3.04167
18 18  50.6273 3.04144
18 19  50.6271 3.04123
18 20  50.6269 3.04101
18 21  50.6267 3.0408
18 22  50.6265 3.04064
18 23  50.6265 3.04052
18 24  50.6263 3.04033
18 25  50.6262 3.04025
18 26  50.6261 3.04017
18 27  50.626 3.04011
18 28  50.6258 3.03996
